id_bo	title	ref_txt	kw_list	eor
J164508651137	Recovery of germanium from waste Optical Fibers by hydrometallurgical method	With the rapid development of optical fiber communications industry, germanium as main raw materials of optical fiber cables become more important in recent years. Due to the scarcity and importance of germanium, we developing an effective recycling process of recovering germanium metal from waste fiber optic cables. The process was arranged to do pre-treatment, leach the fiber and extract the germanium from silicon. In the leaching step, the concentration of different acid, reaction time and liquid-solid ratio were investigated. At the solvent extraction process, the pH value, concentration of extractant and stripping agents, organic-aqueous ratio and reaction time were considered. In leaching step, germanium and silicon were dissolved in solution by sulfuric acid and hydrofluoric acid. Then, germanium was extracted by Trioctylamine (TOA) to the organic phase and silicon was remained in the aqueous by controlling the conditions. After then, Germanium was then stripped by sodium hydroxide. With the optimal conditions, the recovery of germanium could be up to 99%. After separation, germanium could be recycled to back to the industrial effectively.	 Optical fiber cables; Germanium; Leaching; Solvent extraction;.	###
J1758503974X	Microfluidics for synthesis and morphology control of hierarchical porous covalent organic polymer monolith	The hierarchical porous monoliths are important in enhancing diffusion efficiency and reducing pressure drop in heterogeneous catalysis. Here, a practical way to synthesize hierarchical porous covalent organic polymer (COP) monolith by using droplet microfluidic is proposed. The interconnected macro pores (up to__~/__130__nm) were created within intrinsic microporous COP structures by the further condensation of COP particles in the confined microdroplets. Concentration, flow rate ratio, catalyst, etc., were screened to figure out the superior condition for producing different hierarchical porous COP monolith in microfluidic. Rod-like and spherical monolith with gradient sizes were controllable synthesized to satisfy the requirements of different packing density for practical applications. Significantly, our homemade single microreactor is able to produce the spherical hierarchical porous COP monolith with a high space-time yield of 413__kg~xm{_-3}~xday{_-1} at optimized condition, which provides a promising scale-up method to synthesize COP monoliths for but not limit to industrial heterogeneous catalysis.	 Droplet microfluidic system; Porous material; Hierarchical porous monolith; Massive producing; Microchemical.	###
J1746904755	The wisdom nexus: Guiding information systems research, practice, and education	"_6Wisdom~"" has been at the heart of practical, philosophical, and spiritual disciplines since antiquity and is now increasingly receiving organizational as well as academic attention in scholarly areas that include psychology and organizational studies among others. However, practical wisdom has not received adequate focus in the information systems (IS) discipline. In this commentary, we make the case for a systemic focus on the role of wisdom in IS research, teaching, and practice. We introduce underlying theoretical concepts of wisdom; review relevant key research linking wisdom and IS; propose a framework to link wisdom with IS research, practice, and education; and discuss the implications of the framework and illustrate how it can be used to generate research opportunities for IS. We conclude that wisdom, whose goal is the common good, can provide a foundation to discover, view, understand, and resolve myriad issues that lie at the nexus of wisdom and information technologies."	 information systems; knowledge management; practical wisdom; research directions; technology; wisdom.	###
J1646565X38	First principles predictions of electronic and elastic properties of BaPb[2]As[2] in the ThCr[2]Si[2]-type structure	A first-principles approach is used to predicts the electronic and elastic properties of BaPb[2]As[2] superconductor compound, using full-potential linearized augmented plane wave plus local orbitals (FP-L/APW+lo) scheme within the local density approximation LDA. The calculated equilibrium structural parameter a agree well with the experiment while the c/a ratio is far away from the experimental result. The band structure, density of states, together with the charge density and chemical bonding are discussed. The calculated elastic constants for our compound indicate that it is mechanically stable at ambient pressure. Polycrystalline elastic moduli (Young's, Bulk, shear Modulus and the Poisson's ratio) were calculated according to the Voigte-Reusse-Hill (VRH) average.	 Superconductivity; BaPb2As2; FP-LAPW; LDA; Elastic.	###
J17280718104	Remote Effects of Transplanted Perivascular Adipose Tissue on Endothelial Function and Atherosclerosis	Purpose. Perivascular adipose tissue (PVAT) surrounds the arterial adventitia and plays an important role in vascular homeostasis. PVAT expands in obesity, and inflamed PVAT can locally promote endothelial dysfunction and atherosclerosis. Here, using adipose tissue transplantation, we tested the hypothesis that expansion of PVAT can also remotely exacerbate vascular disease. Methods. Fifty milligrams of abdominal aortic PVAT was isolated from high-fat diet (HFD)-fed wild-type mice and transplanted onto the abdominal aorta of lean LDL receptor knockout mice. Subcutaneous and visceral adipose tissues were used as controls. After HFD feeding for 10 weeks, body weight, glucose/insulin sensitivity, and lipid levels were measured. Adipocytokine gene expression was assessed in the transplanted adipose tissues, and the thoracic aorta was harvested to quantify atherosclerotic lesions by Oil-Red O staining and to assess vasorelaxation by wire myography. Results. PVAT transplantation did not influence body weight, fat composition, lipid levels, or glucose/insulin sensitivity. However, as compared with controls, transplantation of PVAT onto the abdominal aorta increased thoracic aortic atherosclerosis. Furthermore, PVAT transplantation onto the abdominal aorta inhibited endothelium-dependent relaxation in the thoracic aorta. MCP-1 and TNF-_a expression was elevated, while adiponectin expression was reduced, in the transplanted PVAT tissue, suggesting augmented inflammation as a potential mechanism for the remote vascular effects of transplanted PVAT. Conclusions. These data suggest that PVAT expansion and inflammation in obesity can remotely induce endothelial dysfunction and augment atherosclerosis. Identifying the underlying mechanisms may lead to novel approaches for risk assessment and treatment of obesity-related vascular disease.	 Perivascular adipose tissue, Fat transplantation, Endothelial dysfunction, Atherosclerosis,.	###
J16424368112	Two new tercopolymers incorporating electron-rich benzodithiophene and electron-accepting pyrrolo_(3,4-c_)pyrrole-1,3-dione and difluorobenzothiadiazole derivatives for polymer solar cells	Two new tercopolymers (RP1 and RP2) containing electron-donating benzodithiophene, weak electron-accepting pyrrolo_(3,4-c_)pyrrole-1,3-dione derivative and strong electron-accepting 5,6-difluorobenzothiadiazole derivative were prepared. The opto-electrical studies showed that RP1 and RP2 displayed identical optical band gaps (E[g]~/ 1.72 eV) and highest occupied/lowest unoccupied molecular orbital energy levels (HOMO/LUMO ~/ _-5.32 eV/_-3.60 eV). The polymer solar cells prepared with the configuration of ITO/PEDOT:PSS/RP1:PC[70]BM (1:1.5 wt%) + 3 vol% DIO/Al and ITO/PEDOT:PSS/RP2:PC[70]BM (1:1.5 wt%) + 3 vol% DIO/Al exhibited a maximum power conversion efficiency (PCE) of 5.16% (V[oc]~/ 0.76 V, J[sc]~/ 10.93 mA/cm{2}, and FF ~/ 0.62) and a PCE of 3.56% (V[oc]~/ 0.67 V, J[sc]~/ 9.67 mA/cm{2}, and FF ~/ 0.55), respectively.		###
J18205442394	Experimental study on the condensation and heat transfer of impinging steam jet on the water surface	For the steam jet impinged onto the water surface, we experimentally investigated the effect of Reynolds number (Re) and nozzle-to-water surface distance (z/d) on the condensation and heat transfer. The range of Re is from 51,332 to 140,089 and nozzle-to-water surface distance is from 40 to 70 nozzle diameter. In order to quantitatively analyze the condensation of steam vapor on the water surface and on the wall of water tank, the mass and energy balance equations were derived and solved. The results indicate that the condensation of steam vapor on the water surface increases with as Re increases and z/d decreases. Thus, the amount of heat transfer by condensation of steam vapor on the water surface also increases as Re increases and z/d decreases. Finally, a correlation for the heat transfer was developed by combining the experimental parameters.	 Heat transfer; Impinging steam jet;.	###
J16364896363	A simple chemical approach to regenerating the strength of thermally damaged glass fibre	Process-induced strength loss is a major technical barrier to the effective reuse of thermally recycled glass fibres in composite applications. We have developed a novel approach to effectively restore strength in glass fibres through treatment in alkaline solutions. Glass fibres were treated at elevated temperature and experienced significant strength loss found typically after thermal recycling processes. Different alkaline treatments were then applied to the thermally damaged fibres in an attempt to restore strength which had been lost as a result of the heat conditioning procedure. Results indicated that these treatments were able to generate considerable fibre strength recovery. The degree of strength regeneration was found to be highly dependent on reaction conditions, which were investigated and optimised. The positive effect of these simple chemical treatments demonstrated great potential for facilitating the reuse of thermally recycled glass fibres in composite applications.	 A. Glass fibres; A. Recycling; B. Strength; E. Surface.	###
J16271766346	PVDF/PAN Blend Membrane: Preparation, Characterization and Fouling Analysis	Ultrafiltration membranes were prepared from blend of the poly(vinylidene fluoride) (PVDF) with polyacrylonitrile (PAN) via phase inversion method induced by immersion precipitation. N,N-dimethylacetamide (DMAc) and water were used as solvent and coagulant (non-solvent), respectively. The effect of blending ratio on the morphology and antifouling behavior of the prepared membranes was investigated. The performance of the membranes was evaluated by using cross flow filtration of pure water and buffered bovine serum albumin (BSA) solution as feed. Contact angle measurements indicated that the hydrophilicities of the PVDF/PAN membranes increased by increasing PAN concentration in the casting solution. The minimum BSA rejection was obtained for the membrane with 10% of PAN. However, higher values of PAN result in pore blockage of the membrane and an increase in the irreversible fouling resistance.		###
J16569072338	Fast, large-scale hologram calculation in wavelet domain	We propose a large-scale hologram calculation using WAvelet ShrinkAge-Based superpositIon (WASABI), a wavelet transform-based algorithm. An image-type hologram calculated using the WASABI method is printed on a glass substrate with the resolution of 65,536_*65,536 pixels and a pixel pitch of 1 _mm. The hologram calculation time amounts to approximately 354 s on a commercial CPU, which is approximately 30 times faster than conventional methods.	 Computer-generated hologram; Electroholography; Hologram; Holography; Holographic.	###
