id	result	rubricator	language	threshold	version	normalize	correct
J164508651137	61.01.91-0.9881\87.53.13-0.8104\53.37.29-0.6814\53.37.31-0.2536	RGNTI3	en	0.1	0.0.1	not	###
J1758503974X	31.25.19-0.9526\29.17.19-0.508\61.74.29-0.4908\61.61.37-0.3166\29.31.29-0.301	RGNTI3	en	0.1	0.0.1	not	###
J1746904755	20.01.07-0.9981\75.31.19-0.988\66.45.33-0.9853	RGNTI3	en	0.1	0.0.1	not	###
J1646565X38	30.19.57-0.9894\29.19.29-0.9631\31.15.19-0.6306\31.15.17-0.3403	RGNTI3	en	0.1	0.0.1	not	###
J17280718104	76.03.49-0.8998\61.01.94-0.6202\34.39.29-0.5756\61.45.39-0.1847\34.39.39-0.1206	RGNTI3	en	0.1	0.0.1	not	###
J16424368112	31.25.19-0.9929\61.41.43-0.9365\29.31.29-0.5858\29.19.22-0.233\29.19.31-0.114	RGNTI3	en	0.1	0.0.1	not	###
J18205442394	55.39.31-0.7511\87.19.03-0.5455\44.31.35-0.5158\44.31.31-0.4103\87.19.15-0.2746\55.39.41-0.2275	RGNTI3	en	0.1	0.0.1	not	###
J16364896363	61.35.31-0.9768\30.51.31-0.6655\87.19.03-0.3243\30.51.37-0.2674\87.53.13-0.2485\87.19.91-0.1495	RGNTI3	en	0.1	0.0.1	not	###
J16271766346	61.61.33-0.997\31.25.15-0.8495\90.27.31-0.3857\45.53.41-0.2717\31.25.19-0.1413	RGNTI3	en	0.1	0.0.1	not	###
J16569072338	29.31.29-0.8257\89.51.17-0.7821\31.15.17-0.6068\31.15.19-0.191\29.05.03-0.1257	RGNTI3	en	0.1	0.0.1	not	###
J16343465231	47.33.29-0.9924\29.19.31-0.9148\31.15.19-0.7397	RGNTI3	en	0.1	0.0.1	not	###
J16136850253	31.19.29-0.9751\87.19.03-0.625\61.01.94-0.4954\61.61.13-0.1602	RGNTI3	en	0.1	0.0.1	not	###
J16769381121	31.15.17-0.9891\29.19.04-0.9245\47.49.27-0.482	RGNTI3	en	0.1	0.0.1	not	###
J1568725X205	87.19.81-0.9874\31.19.15-0.9524\38.33.15-0.3528	RGNTI3	en	0.1	0.0.1	not	###
J1757827X312	61.35.33-0.9147\38.63.15-0.914\87.53.13-0.6063	RGNTI3	en	0.1	0.0.1	not	###
J15730236332	31.25.19-0.8145\61.74.29-0.4798\87.19.03-0.3921\44.01.05-0.3445\61.61.99-0.1096\61.61.33-0.1063	RGNTI3	en	0.1	0.0.1	not	###
J15889383201	34.35.33-0.998\62.01.94-0.996\87.19.03-0.6244\87.19.81-0.2094	RGNTI3	en	0.1	0.0.1	not	###
J16997791189	61.45.36-0.9859\34.45.21-0.9005\31.23.17-0.863	RGNTI3	en	0.1	0.0.1	not	###
J17932464435	44.31.31-0.9946\55.39.41-0.9814\30.17.27-0.5468\30.51.37-0.3531	RGNTI3	en	0.1	0.0.1	not	###
J15840848316	34.27.39-0.9892\68.03.05-0.8757\62.13.99-0.766	RGNTI3	en	0.1	0.0.1	not	###
J16289649139	37.31.19-0.9962\30.51.31-0.986	RGNTI3	en	0.1	0.0.1	not	###
J17210930260	44.29.33-0.9971\87.53.13-0.6252	RGNTI3	en	0.1	0.0.1	not	###
J1727791150	73.31.17-0.9981\27.47.19-0.9464\49.46.29-0.7341\49.43.29-0.14	RGNTI3	en	0.1	0.0.1	not	###
J16259499422	61.41.43-0.9845\29.33.25-0.9448\31.21.27-0.5171\31.23.99-0.142	RGNTI3	en	0.1	0.0.1	not	###
J16226639349	29.19.15-0.9711\30.19.57-0.9428\53.49.03-0.7319\53.49.05-0.2285	RGNTI3	en	0.1	0.0.1	not	###
J17544014114	38.49.19-0.9869\61.01.91-0.8211\41.19.41-0.8014\61.31.61-0.1028	RGNTI3	en	0.1	0.0.1	not	###
J1594812683	38.49.19-0.9966\36.29.33-0.7392\52.45.23-0.4951\52.13.05-0.3043	RGNTI3	en	0.1	0.0.1	not	###
J16238769315	61.53.19-0.7215\87.19.03-0.5999\44.31.31-0.5157\44.09.29-0.4615\87.53.13-0.2044\61.55.91-0.1346\87.19.15-0.1057	RGNTI3	en	0.1	0.0.1	not	###
J16572510170	53.41.37-0.9959\31.15.17-0.9364\29.19.22-0.8721	RGNTI3	en	0.1	0.0.1	not	###
J14968158382	44.41.35-0.9966\29.19.22-0.9842\47.33.33-0.9648	RGNTI3	en	0.1	0.0.1	not	###
J1756333718	30.15.35-0.9996\52.13.05-0.7007\29.05.03-0.3478\52.13.25-0.215\29.03.77-0.1735	RGNTI3	en	0.1	0.0.1	not	###
J1619154145	61.31.61-0.7026\31.15.17-0.6983\38.57.15-0.5535\38.33.17-0.3987\61.53.99-0.2232\31.15.35-0.174	RGNTI3	en	0.1	0.0.1	not	###
J1458242X185	34.33.33-0.995\39.19.25-0.883\15.81.61-0.7373	RGNTI3	en	0.1	0.0.1	not	###
J1724139975	53.49.03-0.9552\29.19.15-0.9475\31.15.17-0.8113	RGNTI3	en	0.1	0.0.1	not	###
J1661050131	29.37.03-0.9799\31.25.15-0.8826\30.15.35-0.4306\30.19.55-0.3952\30.19.57-0.1536	RGNTI3	en	0.1	0.0.1	not	###
J15660378230	44.31.31-0.9985\61.53.99-0.9944\87.53.13-0.8954	RGNTI3	en	0.1	0.0.1	not	###
J1743858388	47.35.31-0.992\49.46.29-0.8102\29.33.39-0.4394\29.27.43-0.2218\29.33.03-0.1871	RGNTI3	en	0.1	0.0.1	not	###
J17367139106	29.19.22-0.9491\31.25.15-0.8835\61.53.99-0.4488\61.61.81-0.4138\61.61.29-0.117\31.25.19-0.1094	RGNTI3	en	0.1	0.0.1	not	###
J1733055398	31.21.25-0.8093\61.41.43-0.5025\90.01.85-0.47\61.37.01-0.3742\30.51.31-0.1546\30.51.37-0.1137	RGNTI3	en	0.1	0.0.1	not	###
J1630551252	37.31.19-0.9672\73.31.17-0.6926\90.01.85-0.3138\73.31.01-0.1178	RGNTI3	en	0.1	0.0.1	not	###
J15922356301	62.99.11-0.997\34.47.51-0.9915\61.01.94-0.7892\61.01.91-0.1197	RGNTI3	en	0.1	0.0.1	not	###
J16609546173	34.27.29-0.9956\68.03.05-0.9955\39.25.15-0.9907	RGNTI3	en	0.1	0.0.1	not	###
J1616513373	31.25.19-0.7979\61.61.09-0.6837\29.17.01-0.412\29.17.41-0.2928\61.74.29-0.221\31.25.15-0.2011	RGNTI3	en	0.1	0.0.1	not	###
J1710050780	61.57.31-0.9961\30.51.31-0.8813\31.25.15-0.5261\31.25.19-0.2052\31.15.37-0.1591	RGNTI3	en	0.1	0.0.1	not	###
J17031874196	44.33.29-0.9986\29.15.53-0.9951\53.37.29-0.4612\53.49.17-0.1773	RGNTI3	en	0.1	0.0.1	not	###
J16566588236	29.19.22-0.9015\47.33.33-0.6454\47.09.29-0.348\31.15.33-0.3472\31.15.37-0.2867	RGNTI3	en	0.1	0.0.1	not	###
J15886287198	45.41.31-0.847\28.15.19-0.6634\28.15.15-0.1042	RGNTI3	en	0.1	0.0.1	not	###
J16121241485	29.15.39-0.9928\61.45.39-0.6953\44.33.29-0.634\44.37.29-0.1906	RGNTI3	en	0.1	0.0.1	not	###
J15934370266	47.09.29-0.8931\90.27.37-0.7649\29.19.22-0.512\29.31.29-0.2698\90.27.31-0.1518	RGNTI3	en	0.1	0.0.1	not	###
J17572476151	62.99.11-0.973\39.25.15-0.9713\34.27.29-0.5593\34.27.49-0.2854\34.39.41-0.1044	RGNTI3	en	0.1	0.0.1	not	###
J1748011316	64.29.13-1.0\61.61.09-0.9131	RGNTI3	en	0.1	0.0.1	not	###
J16344372229	34.15.25-0.9851\29.17.41-0.8529\31.23.29-0.4382\31.15.27-0.371	RGNTI3	en	0.1	0.0.1	not	###
J17210272395	47.33.29-0.9874\29.19.22-0.8773\31.15.17-0.504\31.15.19-0.3335	RGNTI3	en	0.1	0.0.1	not	###
J1626851X179	29.17.43-0.9618\30.17.27-0.8165\31.01.77-0.4818\31.15.35-0.183\31.15.19-0.1821\30.51.31-0.1148	RGNTI3	en	0.1	0.0.1	not	###
J1724936514	50.07.03-0.8141\29.19.39-0.5041\47.33.29-0.4691\29.35.23-0.2633\47.33.31-0.2517\47.49.27-0.1209	RGNTI3	en	0.1	0.0.1	not	###
J18019835179	31.23.17-0.9231\61.45.31-0.8657\34.45.21-0.4917\34.27.21-0.2492\34.27.39-0.2005\61.49.31-0.1075	RGNTI3	en	0.1	0.0.1	not	###
J16260268226	38.53.21-0.9922\44.09.29-0.857\61.53.19-0.2238	RGNTI3	en	0.1	0.0.1	not	###
J1745042713X	31.25.19-0.9879\61.61.09-0.9803	RGNTI3	en	0.1	0.0.1	not	###
J1660962722	29.19.22-0.818\47.33.29-0.7631\53.41.37-0.4824\53.49.15-0.253	RGNTI3	en	0.1	0.0.1	not	###
J1722899689	61.37.01-0.9035\31.21.18-0.8203\34.47.67-0.5775\34.33.19-0.1572\31.21.17-0.1046	RGNTI3	en	0.1	0.0.1	not	###
J16523072335	61.35.33-0.989\30.51.31-0.8444\87.53.15-0.806	RGNTI3	en	0.1	0.0.1	not	###
J16245196198	31.15.33-0.9672\61.31.59-0.6916\29.19.22-0.3286\29.27.51-0.3011\29.27.35-0.1293\61.31.55-0.1045	RGNTI3	en	0.1	0.0.1	not	###
J16343945233	34.39.15-0.9985\76.03.49-0.9791\15.81.61-0.7279	RGNTI3	en	0.1	0.0.1	not	###
J17996993919	52.45.23-0.6546\87.19.03-0.4179\52.45.25-0.3251\87.19.15-0.2348\87.53.13-0.1412	RGNTI3	en	0.1	0.0.1	not	###
J17318006858	28.23.15-0.9831\29.05.03-0.9525\50.07.03-0.7185\50.41.25-0.2533	RGNTI3	en	0.1	0.0.1	not	###
